,Região Administrativa,CÓDIGO,ESTABELECIMENTO,ENDEREÇO,Nº,BAIRRO,CEP,FONE,lat,long
16,LESTE,24077887,CMEI GALDINA BARBOSÁ SILVEIRA GUIMARÃES,RUA JOÃO XXIII,1565,MÃE LUÍZA,59014220,32328618.0,-5.7985623,-35.18552200000001
17,LESTE,24077585,CMEI JOSÉ ALVES SOBRINHO,RUA JÚLIO GOMES MOREIRA,876,BARRO VERMELHO,59022110,32329480.0,-5.7996174,-35.2082369
18,LESTE,24077607,CMEI MARIA EULALIA GOMES DA SILVA,RUA NOSSA SENHORA APARECIDA,40,CIDADE ALTA,59040085,32324792.0,-5.7875879,-35.2146987
19,LESTE,24082937,CMEI NOSSA SENHORA DE LOURDES,RUA JOÃO XXIII,1215,MÃE LUIZA,59014000,87687092.0,-5.7969209,-35.1868928
20,LESTE,24056952,CMEI PADRE JOÃO PERESTRELLO,RUA JOÃO XXIII,729,MÃE LUIZA,59014000,,-5.7939606,-35.1896493
21,LESTE,24077470,CMEI PROFA VILMA MARIA DE FARIA,RUA MARCOS CAVALCANTE,585,TIROL,59015300,32329482.0,-5.7991609,-35.23477829999999
22,OESTE,24077925,CMEI BOM SÁMARITANO,RUA PASTOR JOSINO GALVAO,102,QUINTAS,59035050,32329500.0,-5.799457599999999,-35.2350593
23,OESTE,24091804,CMEI CARMEM FERNANDES PEDROZA,RUA JERUSÁLEM,115,FELIPE CAMARÃO,59074320,32056813.0,-5.8253685,-35.2636869
24,OESTE,24077569,CMEI CLEA BEZERRA DE MELO,AV NSRA DO LIVRAMENTO,31,GUARAPES,59074745,32324347.0,-5.8281242,-35.2504018
25,OESTE,24074470,CMEI DRA ZILDA ARNS,AV. INDUSTRIAL JOÃO FRANCISCO DA MOTTA,45,FELIPE CAMARÃO,59072200,36059161.0,-16.3495699,-48.9222425
26,OESTE,24077666,CMEI FREI DAMIÃO,RUA PEDRINHO BEZERRA,1185,BOM PASTOR,59060480,32329493.0,-5.0884079,-42.735746
27,OESTE,24077690,CMEI IRMA DULCE,AV PERNAMBUCO,SN,FELIPE CAMARÃO,59072250,32329440.0,-5.8238123,-35.25385139999999
28,OESTE,24077410,CMEI JESIEL FIGUEIREDO,RUA HERMITA CANSÁCAO,SN,CIDADE DA ESPERANÇA,59070300,32329441.0,-5.8251917,-35.2353515
29,OESTE,24059498,CMEI JESUS BOM PASTOR,SOLANGE NUNES DO NASCIMENTO,56,N. SRA DE NAZARÉ,59062170,32329447.0,-5.809346700000001,-35.2351928
30,OESTE,24082929,CMEI JOSÉ ALENCAR GOMES DA SILVA,RUA DOS PAIANAZES,455,CIDADE NOVA,59072500,32059436.0,-25.5538655,-49.2482888
31,OESTE,24056901,CMEI MISSIONARIO ODILON DOS SANTOS,RUA SÃO NICOLAU,1977,QUINTAS,59037350,88472494.0,-5.805874999999999,-35.2308369
32,OESTE,24064971,CMEI NOSSA SENHORA DE FÁTIMA,RUA IJUI,375,FELIPE CAMARÃO,59072230,32050155.0,-25.3568663,-49.2736865
33,OESTE,24056944,CMEI NOSSA SENHORA AUXILIADORA,RUA ALFREDO EDELTRUDES,30,CIDADE DA ESPERANÇA,59071480,32329450.0,-5.822982199999999,-35.2408496
34,OESTE,24059960,CMEI NOSSA SENHORA DE SANTANA,ANA PAULA BARBOSÁ,2300,NORDESTE,59042110,32329495.0,-5.7992613,-35.2389897
35,OESTE,24081892,CMEI PROF ARNALDO ARSENIO DE AZEVEDO,TRAVESSÁ TREZE DE MAIO,SN,GUARAPES,59074846,32325640.0,-5.8093233,-35.227698
36,OESTE,24077461,CMEI PROFA ELAINE DO NASCIMENTO LOPES,AVENIDA DOS CAICOS,16,DIX SEPT ROSÁDO,59054115,94187135.0,-5.8119841,-35.2293187
37,OESTE,24077810,CMEI PROFA FRANCISCA ANASTACIA DE SOUTO,DOS PAIATIS,2002,DIX SEPT ROSÁDO,59062700,,-5.8140924,-35.2301931
38,OESTE,24077577,CMEI PROFA MARIA DO SOCORRO LIMA,RUA CLAUDIONOR FIGUEIREDO,1797,QUINTAS,59035150,88866855.0,-5.8014667,-35.2285194
